[INFO] [1783957022.140445888] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1783957022.140669250] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1783957022.140803132] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1783957022.146280638] [cmd_vel_guard]: Spoof detection ON: amcl=/amcl_pose, cum_thresh=0.25m, step_thresh=0.3m
[INFO] [1783957022.146990036] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1783957022.147222053] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1783957022.147433352] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1783957022.147642656] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1783957022.148864430] [cmd_vel_guard]: ============================================================
[INFO] [1783957022.149125512] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1783957022.149357569] [cmd_vel_guard]: Safety method: geofence
[INFO] [1783957022.149593354] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1783957022.149710194] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1783957022.149822045] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1783957022.149936090] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1783957022.150179850] [cmd_vel_guard]: ============================================================
[INFO] [1783957023.218362006] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1783957028.040818556] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957031.818397827] [cmd_vel_guard]: Guard status: cmds=1, nav_approved=False, odom=yes, pos=(-0.00,0.00), passed=0, blocked=0
[INFO] [1783957033.052038563] [cmd_vel_guard]: [HEARTBEAT #3] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957038.059314071] [cmd_vel_guard]: [HEARTBEAT #4] cmds=3, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957043.068551945] [cmd_vel_guard]: [HEARTBEAT #5] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957048.173925162] [cmd_vel_guard]: [HEARTBEAT #6] cmds=4, odom=yes, nav_approved=False, pos=(0.00,0.00)
[INFO] [1783957053.192510471] [cmd_vel_guard]: [HEARTBEAT #7] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957058.189195313] [cmd_vel_guard]: [HEARTBEAT #8] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957063.196893733] [cmd_vel_guard]: [HEARTBEAT #9] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957068.206422636] [cmd_vel_guard]: [HEARTBEAT #10] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957073.214926339] [cmd_vel_guard]: [HEARTBEAT #11] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957078.222586772] [cmd_vel_guard]: [HEARTBEAT #12] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957083.230452423] [cmd_vel_guard]: [HEARTBEAT #13] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957088.239875099] [cmd_vel_guard]: [HEARTBEAT #14] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957093.247289728] [cmd_vel_guard]: [HEARTBEAT #15] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957098.256286798] [cmd_vel_guard]: [HEARTBEAT #16] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957103.262720163] [cmd_vel_guard]: [HEARTBEAT #17] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957108.276089322] [cmd_vel_guard]: [HEARTBEAT #18] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957113.285201622] [cmd_vel_guard]: [HEARTBEAT #19] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957118.295708807] [cmd_vel_guard]: [HEARTBEAT #20] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957123.300895395] [cmd_vel_guard]: [HEARTBEAT #21] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957128.309200197] [cmd_vel_guard]: [HEARTBEAT #22] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957133.319003990] [cmd_vel_guard]: [HEARTBEAT #23] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1783957138.327845300] [cmd_vel_guard]: [HEARTBEAT #24] cmds=4, odom=yes, nav_approved=False, pos=(-0.00,0.00)
