[INFO] [1784111895.515259541] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1784111895.515478034] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1784111895.515614683] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1784111895.522628827] [cmd_vel_guard]: Spoof detection ON [memoryless]: amcl=/amcl_pose, offset_thresh=0.6m, jump_thresh=0.45m, enforce_pose=amcl
[INFO] [1784111895.523953161] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1784111895.525255534] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1784111895.525669357] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1784111895.526063432] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1784111895.529856986] [cmd_vel_guard]: ============================================================
[INFO] [1784111895.530285156] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1784111895.530688759] [cmd_vel_guard]: Safety method: geofence
[INFO] [1784111895.531423649] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1784111895.531566469] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1784111895.531721342] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1784111895.531877838] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1784111895.532217540] [cmd_vel_guard]: ============================================================
[INFO] [1784111897.122974964] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1784111898.166310155] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1784111903.651204633] [cmd_vel_guard]: [HEARTBEAT #3] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111908.828116409] [cmd_vel_guard]: [HEARTBEAT #4] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111914.194499236] [cmd_vel_guard]: [HEARTBEAT #5] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111919.140108791] [cmd_vel_guard]: [HEARTBEAT #6] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111924.929501802] [cmd_vel_guard]: [HEARTBEAT #7] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111930.545842124] [cmd_vel_guard]: [HEARTBEAT #8] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111935.672286645] [cmd_vel_guard]: [HEARTBEAT #9] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111940.912092747] [cmd_vel_guard]: [HEARTBEAT #10] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111946.138168765] [cmd_vel_guard]: [HEARTBEAT #11] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111951.568178449] [cmd_vel_guard]: [HEARTBEAT #12] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111956.912879915] [cmd_vel_guard]: [HEARTBEAT #13] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111961.944154014] [cmd_vel_guard]: [HEARTBEAT #14] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111967.732968566] [cmd_vel_guard]: [HEARTBEAT #15] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111972.429792243] [cmd_vel_guard]: [HEARTBEAT #16] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111977.904884526] [cmd_vel_guard]: [HEARTBEAT #17] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111983.221922125] [cmd_vel_guard]: [HEARTBEAT #18] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111988.231769092] [cmd_vel_guard]: [HEARTBEAT #19] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111994.895632022] [cmd_vel_guard]: [HEARTBEAT #20] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784111998.547553464] [cmd_vel_guard]: [HEARTBEAT #21] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784112003.956743358] [cmd_vel_guard]: [HEARTBEAT #22] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784112011.625034750] [cmd_vel_guard]: [HEARTBEAT #23] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784112015.854417117] [cmd_vel_guard]: [HEARTBEAT #24] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
