[INFO] [1784143463.976969970] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1784143463.977347278] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1784143463.977546336] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1784143463.994628789] [cmd_vel_guard]: Spoof detection ON [cusum]: amcl=/amcl_pose, offset_thresh=0.6m, jump_thresh=0.45m, enforce_pose=amcl
[INFO] [1784143463.999660270] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1784143464.000470801] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1784143464.001505069] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1784143464.002119638] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1784143464.463833361] [cmd_vel_guard]: ============================================================
[INFO] [1784143464.470070756] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1784143464.487451135] [cmd_vel_guard]: Safety method: geofence
[INFO] [1784143464.506555634] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1784143464.519026966] [cmd_vel_guard]: Simulated comm latency: 100ms
[INFO] [1784143464.530791454] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1784143464.534671835] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1784143464.534929745] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1784143464.556908652] [cmd_vel_guard]: ============================================================
[INFO] [1784143477.251615488] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1784143488.161576031] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143507.560433899] [cmd_vel_guard]: [HEARTBEAT #3] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143516.303357338] [cmd_vel_guard]: [HEARTBEAT #4] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143520.883338920] [cmd_vel_guard]: [HEARTBEAT #5] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143528.948641631] [cmd_vel_guard]: [HEARTBEAT #6] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143535.719595131] [cmd_vel_guard]: [HEARTBEAT #7] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143538.824264627] [cmd_vel_guard]: [HEARTBEAT #8] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143551.666180008] [cmd_vel_guard]: [HEARTBEAT #9] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143558.445260793] [cmd_vel_guard]: [HEARTBEAT #10] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143575.186882669] [cmd_vel_guard]: [HEARTBEAT #11] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143581.479375528] [cmd_vel_guard]: [HEARTBEAT #12] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143590.560215193] [cmd_vel_guard]: [HEARTBEAT #13] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143591.291856404] [cmd_vel_guard]: [HEARTBEAT #14] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143605.065941621] [cmd_vel_guard]: [HEARTBEAT #15] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143619.368247598] [cmd_vel_guard]: [HEARTBEAT #16] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143636.728648124] [cmd_vel_guard]: [HEARTBEAT #17] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784143650.212635777] [cmd_vel_guard]: [HEARTBEAT #18] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
