[INFO] [1784145266.967164901] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1784145266.982523550] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1784145266.997751905] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1784145267.626706986] [cmd_vel_guard]: Spoof detection ON [cusum]: amcl=/amcl_pose, offset_thresh=0.6m, jump_thresh=0.45m, enforce_pose=amcl
[INFO] [1784145267.655669510] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1784145267.657306704] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1784145267.657766305] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1784145267.660608264] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1784145267.717916368] [cmd_vel_guard]: ============================================================
[INFO] [1784145267.718438815] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1784145267.718910007] [cmd_vel_guard]: Safety method: geofence
[INFO] [1784145267.719219647] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1784145267.719620567] [cmd_vel_guard]: Simulated comm latency: 100ms
[INFO] [1784145267.719783963] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1784145267.719950545] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1784145267.720129590] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1784145267.720573291] [cmd_vel_guard]: ============================================================
[INFO] [1784145297.932484786] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145328.867281024] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145340.085704054] [cmd_vel_guard]: [HEARTBEAT #3] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145347.418670954] [cmd_vel_guard]: [HEARTBEAT #4] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145353.856448444] [cmd_vel_guard]: [HEARTBEAT #5] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145358.386678774] [cmd_vel_guard]: [HEARTBEAT #6] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145364.037694590] [cmd_vel_guard]: [HEARTBEAT #7] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145365.389873444] [cmd_vel_guard]: [HEARTBEAT #8] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145368.622842707] [cmd_vel_guard]: [HEARTBEAT #9] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145372.402984438] [cmd_vel_guard]: [HEARTBEAT #10] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145376.715012249] [cmd_vel_guard]: [HEARTBEAT #11] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145379.603397578] [cmd_vel_guard]: [HEARTBEAT #12] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145388.214287921] [cmd_vel_guard]: [HEARTBEAT #13] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145407.922514466] [cmd_vel_guard]: [HEARTBEAT #14] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145444.028448504] [cmd_vel_guard]: [HEARTBEAT #15] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145455.100050714] [cmd_vel_guard]: [HEARTBEAT #16] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145455.826379557] [cmd_vel_guard]: [HEARTBEAT #17] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145456.382250185] [cmd_vel_guard]: [HEARTBEAT #18] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145458.239841023] [cmd_vel_guard]: [HEARTBEAT #19] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145461.933376981] [cmd_vel_guard]: [HEARTBEAT #20] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784145462.156933952] [cmd_vel_guard]: [HEARTBEAT #21] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
