[INFO] [1784185023.329731520] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1784185023.329931762] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1784185023.330065941] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1784185023.334186150] [cmd_vel_guard]: Spoof detection ON [cusum]: amcl=/amcl_pose, offset_thresh=0.95m, jump_thresh=0.45m, enforce_pose=amcl
[INFO] [1784185023.334688733] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1784185023.334930932] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1784185023.335169485] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1784185023.335390596] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1784185023.336038599] [cmd_vel_guard]: ============================================================
[INFO] [1784185023.336289575] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1784185023.336524371] [cmd_vel_guard]: Safety method: geofence
[INFO] [1784185023.336811464] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1784185023.336906159] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1784185023.337000194] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1784185023.337105199] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1784185023.337350094] [cmd_vel_guard]: ============================================================
[INFO] [1784185024.714137707] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1784185027.701993450] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185031.946775685] [cmd_vel_guard]: Guard status: cmds=1, nav_approved=False, odom=yes, pos=(-0.00,0.00), passed=0, blocked=0
[INFO] [1784185032.714894238] [cmd_vel_guard]: [HEARTBEAT #3] cmds=16, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185037.722973356] [cmd_vel_guard]: [HEARTBEAT #4] cmds=42, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185042.730190835] [cmd_vel_guard]: [HEARTBEAT #5] cmds=44, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185047.830761639] [cmd_vel_guard]: [HEARTBEAT #6] cmds=45, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185052.838911115] [cmd_vel_guard]: [HEARTBEAT #7] cmds=45, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185057.848151092] [cmd_vel_guard]: [HEARTBEAT #8] cmds=45, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185062.855375884] [cmd_vel_guard]: [HEARTBEAT #9] cmds=45, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185067.862691594] [cmd_vel_guard]: [HEARTBEAT #10] cmds=45, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784185070.384599552] [cmd_vel_guard]: Navigation authorized
[INFO] [1784185070.558866348] [cmd_vel_guard]: Guard status: cmds=51, nav_approved=True, odom=yes, pos=(0.01,-0.00), passed=50, blocked=0
[INFO] [1784185071.808851850] [cmd_vel_guard]: Guard status: cmds=101, nav_approved=True, odom=yes, pos=(0.19,-0.02), passed=100, blocked=0
[INFO] [1784185072.874269133] [cmd_vel_guard]: [HEARTBEAT #11] cmds=144, odom=yes, nav_approved=True, pos=(0.36,-0.08)
[INFO] [1784185073.058580659] [cmd_vel_guard]: Guard status: cmds=151, nav_approved=True, odom=yes, pos=(0.39,-0.09), passed=150, blocked=0
[INFO] [1784185074.309027799] [cmd_vel_guard]: Guard status: cmds=201, nav_approved=True, odom=yes, pos=(0.61,-0.21), passed=200, blocked=0
[INFO] [1784185075.558910310] [cmd_vel_guard]: Guard status: cmds=251, nav_approved=True, odom=yes, pos=(0.81,-0.36), passed=250, blocked=0
[INFO] [1784185076.224281767] [cmd_vel_guard]: [spoofmon] d_abs=0.101 jump=0.042 max_jump=0.060 c=(0.06,0.05)
[INFO] [1784185076.808860386] [cmd_vel_guard]: Guard status: cmds=301, nav_approved=True, odom=yes, pos=(1.00,-0.55), passed=300, blocked=0
[WARN] [1784185076.959075380] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.90s, min_dist=0.478m
[WARN] [1784185077.058944826] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.481m
[WARN] [1784185077.109175434] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.481m
[WARN] [1784185077.158959292] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.480m
[WARN] [1784185077.210004034] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.480m
[WARN] [1784185077.259140148] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.480m
[WARN] [1784185077.559053757] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.80s, min_dist=0.479m
[WARN] [1784185077.609221478] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.60s, min_dist=0.481m
