[INFO] [1784261475.410407410] [cmd_vel_guard]: Zones loaded: 2
[INFO] [1784261475.410609579] [cmd_vel_guard]: CBF margin: 0.1m (real-time control)
[INFO] [1784261475.410752665] [cmd_vel_guard]: SSM base margin: 0.05m (velocity-dependent)
[INFO] [1784261475.415368253] [cmd_vel_guard]: Spoof detection ON [cusum]: amcl=/amcl_pose, offset_thresh=0.95m, jump_thresh=0.45m, enforce_pose=amcl
[INFO] [1784261475.415921549] [cmd_vel_guard]: DEBUG subscriptions:
[INFO] [1784261475.416161662] [cmd_vel_guard]:   cmd_sub topic: /cmd_vel_nav
[INFO] [1784261475.416505174] [cmd_vel_guard]:   odom_sub topic: /odom
[INFO] [1784261475.416797288] [cmd_vel_guard]:   nav_state_sub topic: /geofence/nav_state
[INFO] [1784261475.417648178] [cmd_vel_guard]: ============================================================
[INFO] [1784261475.417905103] [cmd_vel_guard]: Cmd Vel Guard node initialized
[INFO] [1784261475.418155626] [cmd_vel_guard]: Safety method: geofence
[INFO] [1784261475.418435626] [cmd_vel_guard]: Input: /cmd_vel_nav -> Output: /cmd_vel
[INFO] [1784261475.418749000] [cmd_vel_guard]: Simulated comm latency: 100ms
[INFO] [1784261475.418885243] [cmd_vel_guard]:   Mode: Forward Simulation
[INFO] [1784261475.418996477] [cmd_vel_guard]:   Horizon: 1.0s, Steps: 10
[INFO] [1784261475.419114154] [cmd_vel_guard]:   Margin: 0.562m
[INFO] [1784261475.419363785] [cmd_vel_guard]: ============================================================
[INFO] [1784261476.933021876] [cmd_vel_guard]: [HEARTBEAT #1] cmds=0, odom=no, nav_approved=False, pos=(0.00,0.00)
[INFO] [1784261479.984435958] [cmd_vel_guard]: [HEARTBEAT #2] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261484.991830964] [cmd_vel_guard]: [HEARTBEAT #3] cmds=0, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261485.365912902] [cmd_vel_guard]: Guard status: cmds=1, nav_approved=False, odom=yes, pos=(-0.00,0.00), passed=0, blocked=0
[INFO] [1784261490.000640418] [cmd_vel_guard]: [HEARTBEAT #4] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261495.103013993] [cmd_vel_guard]: [HEARTBEAT #5] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261500.110168247] [cmd_vel_guard]: [HEARTBEAT #6] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261505.117262366] [cmd_vel_guard]: [HEARTBEAT #7] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261510.124365705] [cmd_vel_guard]: [HEARTBEAT #8] cmds=1, odom=yes, nav_approved=False, pos=(-0.00,0.00)
[INFO] [1784261513.363257237] [cmd_vel_guard]: Navigation authorized
[INFO] [1784261515.303055521] [cmd_vel_guard]: [HEARTBEAT #9] cmds=20, odom=yes, nav_approved=True, pos=(0.26,-0.07)
[INFO] [1784261515.909090659] [cmd_vel_guard]: [spoofmon] d_abs=0.076 jump=0.037 max_jump=0.040 c=(0.13,-0.01)
[INFO] [1784261518.234332750] [cmd_vel_guard]: [spoofmon] d_abs=0.190 jump=0.010 max_jump=0.040 c=(0.23,0.09)
[INFO] [1784261518.336311618] [cmd_vel_guard]: Guard status: cmds=51, nav_approved=True, odom=yes, pos=(0.60,-0.56), passed=50, blocked=0
[WARN] [1784261519.853972717] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.70s, min_dist=0.480m
[WARN] [1784261520.056658856] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.50s, min_dist=0.480m
[WARN] [1784261520.158036622] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.40s, min_dist=0.476m
[INFO] [1784261520.259060197] [cmd_vel_guard]: [HEARTBEAT #10] cmds=69, odom=yes, nav_approved=True, pos=(1.00,-0.58)
[WARN] [1784261520.259661785] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.469m
[WARN] [1784261520.360955920] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.40s, min_dist=0.476m
[WARN] [1784261520.462187865] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261520.563470268] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.478m
[WARN] [1784261520.664865958] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261520.766106600] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.40s, min_dist=0.470m
[WARN] [1784261520.867683169] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261520.968861291] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.070091217] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.171689219] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.273598791] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.374787606] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.476026638] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.577264517] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.678489602] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.779767438] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.880964940] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261521.982230392] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261522.083505818] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261522.184782284] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261522.286185754] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261522.387462141] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.475m
[WARN] [1784261522.488668632] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261522.589891124] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261522.691231654] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261522.792483272] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261522.893703450] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261522.994970568] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.096470026] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.197740824] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.299214532] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[INFO] [1784261523.400324020] [cmd_vel_guard]: Guard status: cmds=101, nav_approved=True, odom=yes, pos=(1.09,-0.65), passed=66, blocked=34
[WARN] [1784261523.400809895] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.502108386] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.603465329] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.704738662] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.806015511] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261523.907441949] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261524.008671396] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261524.109893042] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
[WARN] [1784261524.211103386] [cmd_vel_guard]: BLOCKED (geofence): violation at t=0.30s, min_dist=0.465m
