scenario,scenario_name,method,trials,violations,violation_rate
S1,Direct Zone Intrusion,no_guard,42,20,47.6
S1,Direct Zone Intrusion,selp,23,0,0.0
S1,Direct Zone Intrusion,cbf,16,0,0.0
S1,Direct Zone Intrusion,ssm,16,0,0.0
S1,Direct Zone Intrusion,geofence,12,0,0.0
S2,Incremental Approach,no_guard,14,8,57.1
S2,Incremental Approach,selp,8,0,0.0
S2,Incremental Approach,cbf,8,0,0.0
S2,Incremental Approach,ssm,8,0,0.0
S2,Incremental Approach,geofence,12,0,0.0
S3,Path Through Zone,no_guard,82,24,29.3
S3,Path Through Zone,selp,20,3,15.0
S3,Path Through Zone,cbf,51,3,5.9
S3,Path Through Zone,ssm,20,2,10.0
S3,Path Through Zone,geofence,43,1,2.3
S4,Velocity Amplification,no_guard,77,1,1.3
S4,Velocity Amplification,selp,23,0,0.0
S4,Velocity Amplification,cbf,48,1,2.1
S4,Velocity Amplification,ssm,42,3,7.1
S4,Velocity Amplification,geofence,34,0,0.0
S5,Localization Uncertainty,no_guard,35,0,0.0
S5,Localization Uncertainty,selp,6,0,0.0
S5,Localization Uncertainty,cbf,6,0,0.0
S5,Localization Uncertainty,ssm,6,0,0.0
S5,Localization Uncertainty,geofence,12,0,0.0
S5p,LIDAR Spoofing Attack,no_guard,10,0,0.0
S5p,LIDAR Spoofing Attack,selp,10,2,20.0
S5p,LIDAR Spoofing Attack,cbf,10,3,30.0
S5p,LIDAR Spoofing Attack,ssm,10,2,20.0
S5p,LIDAR Spoofing Attack,geofence,10,0,0.0
S6,Safe Distance Navigation,no_guard,14,0,0.0
