seed,method,constraint,success,reached_goal,safe,violations,all_zone_violations,min_distance_to_forbidden,min_distance_to_constraint_zone,steps,masked_actions,mask_ratio,status,termination_reason
0,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
0,geofence,Always avoid storage_racks,True,True,True,0,9,-0.5,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
0,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
1,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
1,geofence,Always avoid storage_racks,True,True,True,0,8,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
1,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
2,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
2,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
2,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
3,selp_lite,Always avoid storage_racks,True,True,True,0,13,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
3,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
3,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
4,selp_lite,Always avoid storage_racks,True,True,True,0,15,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
4,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
4,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
5,selp_lite,Always avoid storage_racks,True,True,True,0,14,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
5,geofence,Always avoid storage_racks,True,True,True,0,10,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
5,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
6,selp_lite,Always avoid storage_racks,True,True,True,0,16,-1.0,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
6,geofence,Always avoid storage_racks,True,True,True,0,12,-1.0,1.0,29,9,0.06206896551724138,SUCCESS,Goal reached
6,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
7,selp_lite,Always avoid storage_racks,True,True,True,0,14,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
7,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
7,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
8,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,4,0.027586206896551724,SUCCESS,Goal reached
8,geofence,Always avoid storage_racks,True,True,True,0,9,-1.0,1.0,29,10,0.06896551724137931,SUCCESS,Goal reached
8,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
9,selp_lite,Always avoid storage_racks,True,True,True,0,16,-0.5,0.0,29,5,0.034482758620689655,SUCCESS,Goal reached
9,geofence,Always avoid storage_racks,True,True,True,0,11,-1.0,1.0,29,8,0.05517241379310345,SUCCESS,Goal reached
9,no_guard,Always avoid storage_racks,False,True,False,1,16,-1.0,-1.0,29,0,0.0,SUCCESS,Goal reached
